Statement Author,Statement,Rating
Francesca Hong,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
Greg Abbott,Texas' public high school graduation rate is at 90% overall.,true
Abigail Spanberger,“The four big meat packers are raking in record profits … ”,true
Levar Stoney,"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",true
Tony Evers,"“Wisconsin's archaic abortion ban is older than 20 states.""",true
Democratic Party of Wisconsin,"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",true
Cavalier Johnson,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",true
Gary Black,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",true
Kelda Helen Roys,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",true
Eric Toney,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",true
Andrea Stewart-Cousins,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",true
Lee Zeldin,“New York leads the U.S. in population loss.”,true
Keith Pekau,We’ve reduced crime to its lowest level in 27 years.,true
Kathy Hochul,"Since taking office, Hochul has passed more than 400 new bills",true
Melissa Agard,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",true
Jennifer Konfrst,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,true
Tim Kaine,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,true
Nikki Fried,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",true
Kathy Hochul,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,true
Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",true
Robert Ortt,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",true
Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",true
John Cornyn,"""100,000 Americans died of an overdose in a single year.""",true
Jennifer McClellan,“More than half of Virginia’s school buildings are older than 50 years.”,true
Tony Evers,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,true
Brian Tyler Cohen,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",true
Joni Ernst,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",true
Roger Williams,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",true
Jen Psaki,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",true
Iowa Senate Democrats,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",true
NYS Department of Corrections and Community Supervision,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",true
Cindy Axne,"“Iowa ranks 45th in the U.S. for internet connectivity.""",true
David Gura,“FUN FACT: West Virginia is home to zero billionaires.”,true
Kelda Helen Roys,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,true
Randy Feenstra,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",true
Facebook posts,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",true
Mark Pocan,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",true
Kathryn Moffett Bradford,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",true
David McKinley,“Overdose deaths in WV are up 45% from the prior year.”,true
Chris Larson,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",true
Mark Pocan,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,true
Mitt Romney,"The Trump administration worked to free 5,000 Taliban prisoners.",true
Mandela Barnes,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",true
Viral image,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,true
Craig Thompson,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",true
Gwen Moore,"“324,000 pregnant people experience domestic violence during their pregnancy.”",true
Chip Roy,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,true
Mandela Barnes,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",true
Glenn Grothman,“We have a record 9.3 million job openings in the U.S.”,true
Mark Born,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",true
Lorraine Lewandrowski,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,true
Mandela Barnes,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",true
Tim Kaine,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",true
Wisconsin Republican Legislative leaders,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",true
Robert Martwick,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,true
Greg Abbott,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,true
Lindsay James,"“There are more job openings than there are people on unemployment"" in Iowa.",true
Jeff Jackson,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,true
Kevin Kiley,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,true
Kirk Cox,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,true
Van Wanggaard,Foxconn “is the largest taxpayer in Racine County.”,true
Zach Wahls,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",true
Pete Buttigieg,“There is racism physically built into some of our highways.”,true
Greg Abbott,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,true
Facebook posts,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,true
Tony Evers,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",true
Jim Justice,West Virginia “is the only state to decline in population over the last 70 years”,true
Terry McAuliffe,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",true
Barbara Dittrich,"""Pot today is not the weed baby boomers were smoking.""",true
Beth Wessel-Kroeschell,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",true
Facebook posts,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,true
Chuck Todd,“The filibuster was never an idea of the founding fathers.”,true
Energy Transfer,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,true
Chris Kapenga,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",true
Tom Cotton,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",true
Tom Wolf,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,true
Cory Booker,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",true
Beto O'Rourke,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",true
Facebook posts,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",true
Gordon Hintz,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",true
Chuck Grassley,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",true
Jenna Wadsworth,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",true
Jennifer Boysko,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",true
Marco Rubio,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",true
Tony Evers,"""We put $330 million in general school aids — the largest in more than a decade.""",true
Pat Toomey,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,true
Kirk Cox,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,true
Devin LeMahieu,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",true
Sarah Godlewski,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",true
Jake Tapper,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,true
Sherrod Brown,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",true
Kim Reynolds,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",true
Mitch McConnell,"""This election actually was not unusually close.""",true
Joe Biden,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",true
Mike Gallagher,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,true
Pat Toomey,"“In my state, as in many other states, we have governors who are closing down businesses again.”",true
Chris Larson,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,true
Mike Gallagher,"""New data shows in-person learning isn't driving spikes in cases.""",true
Tim Carpenter,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,true
JB Pritzker,"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",true
Mandy Cohen,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,true
Ralph Northam,"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",true
Tweets,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",true
Tammy Baldwin,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",true
Joe Biden,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",true
Theresa Greenfield,"Farm bankruptcies are ""at an eight-year high.""",true
Roy Cooper,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",true
Robyn Vining,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,true
Facebook posts,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,true
Chris Jacobs,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",true
Roy Cooper,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",true
Jim Justice,“West Virginia has one of the greatest percentages of veterans in any state.”,true
Facebook posts,“Wisconsin Republicans have not passed a single bill in 6 months.”,true
Joe Biden,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,true
Phil Scott,"“That 5% (wealth tax) starts at $159,000 per family.”",true
Michael Burgess,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,true
Chris Larson,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,true
Caleb Rowden,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",true
Joe Biden,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,true
Nick Freitas,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,true
Democratic Congressional Campaign Committee,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,true
Facebook posts,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,true
Chris Larson,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",true
Michelle Obama,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",true
National Republican Senatorial Committee,"Cal Cunningham ""voted for over $1 billion in new taxes.”",true
Cory Booker,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,true
Instagram posts,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",true
M.J. Hegar,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”",true
Joe Biden,"On home health workers’ low pay and limited benefits, “40% are still on SNAP or Medicaid.”",true
Donald Trump,“Murders this year have spiked 27% in Philadelphia.”,true
Public Citizen,"“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""",true
Mike Gallagher,"""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.”",true
Sunny Hostin,"“Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.”",true
Chris Hayes,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”",true
Ron McMullen,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,true
John Cornyn,The United States has not completed a “top-to-bottom review of our criminal justice system at the national level since 1965.”,true
Dan Forest,"""North Carolina is one of four states"" that hasn't opened gyms.",true
Priorities USA Action,"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""",true
Facebook posts,"Says a 1942 Milwaukee YMCA brochure shows children playing a violent, racist carnival game",true
Jeanette Kowalik,"""Our health department, our city and our county declared racism as a public health crisis last year.”",true
Monica Wallace,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,true
Desiree Rogers,"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”",true
George Borrello,"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”",true
Sara Meaney,"“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”",true
Planned Parenthood,"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”",true
Joe Biden,"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”",true
Glenn Grothman,“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,true
Darren Jackson,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,true
Facebook posts,Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,true
American Automobile Association,“New York is one of only 12 states where the average gallon of gas costs more than $2.00.”,true
Chris Kapenga,Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter,true
Jamie Nadler,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,true
Veronica Escobar,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,true
Jay Chaudhuri,"North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""",true
Levar Stoney,Virginia has “lagged behind other states when it comes to (covid-19) testing.”,true
Joe Biden,"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",true
Facebook posts,"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",true
Andrew Cuomo,"“Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.”",true
Facebook posts,“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,true
Barack Obama,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",true
Jack Whitver,"Before COVID-19, “Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings.”",true
John Bel Edwards,"Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",true
Viral image,Photo shows a crowded New York City subway train during stay-at-home order.,true
Facebook posts,"“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",true
Pat Toomey,“My mask will keep someone else safe and their mask will keep me safe.”,true
Dan Crenshaw,Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,true
Andrew Cuomo,“No city in the state can quarantine itself without state approval.”,true
Kelly Alexander,"Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus",true
Viral image,Says Spectrum will provide free internet to students during coronavirus school closures.,true
Michael Dougherty,"“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”",true
Bloggers,“Whole of Italy goes into quarantine.”,true
Roger Roth,“The average (Wisconsin) resident’s tax burden is at its lowest level in nearly 50 years while incomes continue to grow.”,true
Joe Biden,"“You’ve raised a lot more money than I have, Bernie.”",true
Michael Bloomberg,"During his tenure as mayor of New York City, “street homelessness decreased by 28 percent.”",true
Jane O’Meara Sanders,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",true
Amy Klobuchar,"“The majority of hunters now want universal background checks, the majority of Trump voters.”",true
Joe Biden,"“From the moment we passed that signature legislation, Mike (Bloomberg) called it a disgrace.”",true
Tom Barrett,"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",true
Denver Riggleman,“Over 50% of the people now in the House and state Senate have not been born in Virginia.”,true
Cory Booker,National polls have “never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama — 20 points behind in the national polls roughly.”,true
Jake Tapper,"“Traditionally, the Speaker says: ‘Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.’ (Tonight) Speaker Pelosi said, ‘Members of Congress, the President of the United States.’ """,true
James White,"Says ""10% of U.S. children are Texans.""",true
Elizabeth Warren,"""The president of the United States already has the legal authority to reduce the price of many commonly used prescription drugs.""",true
Pete Buttigieg,"""More than 80% of Republicans think we ought to at least be doing universal background checks.""",true
Charles Schumer,"""The American people are overwhelmingly with us"" in calling witnesses in Senate trial",true
Michael Bloomberg,"""Mayor Bloomberg helped lower the number of uninsured by 40 percent, covering 700,000 more New Yorkers""",true
Facebook posts,"""Twitter is banned in Iran.""",true
Tammy Baldwin,"Witnesses have been part of ""every other impeachment trial the Senate has ever had.""",true
Andrew Cuomo,"""We have the lowest corporate tax rate since 1968.""",true
Facebook posts,"Florida is ""the 45th in state education funding.""",true
Facebook posts,"In 1988, in response to Iran’s attack on the U.S.S. Samuel Roberts, President Ronald Reagan ""destroyed half of Iran’s Navy.""",true
Bernie Sanders,"""We end the $100 billion a year that the health care industry makes.""",true
Elizabeth Warren,"""Look at the men on this stage. Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women, Amy and me.""",true
Viral image,"A man at ""the storming of the U.S. embassy"" in Iraq visited the White House in 2011.",true
Ron Johnson,"The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",true
Elizabeth Warren,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",true
Andrew Yang,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",true
Amy Klobuchar,"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",true
Bernie Sanders,"Real wages ""went up last year 1.1%.""",true
Joe Biden,"California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""",true
Jim Justice,"Says a new annual report shows that ""West Virginia’s tourism industry has grown for the second consecutive year, reversing years of decline and outpacing national growth by 58 percent.""",true
Rob Hutton,"A ""study showed as many as one in four people have had a package stolen from their residence.""",true
Mark Walker,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,true
Ron Kind,"""I am the only member of Congress that voted for both inquiries -- the Clinton inquiry and now the Trump inquiry.""",true
Elizabeth Warren,"""If we make no changes over the next 10 years, Americans will reach into their pockets and pay out about $11 trillion on insurance premiums, copays, deductibles and uncovered medical expenses.""",true
Shelley Moore Capito,"""On average, one person dies by suicide every 22 hours in West Virginia.""",true
Darrell Steinberg,"""90,000 Californians are unsheltered and homeless.""",true
Andrew Napolitano,"The impeachment inquiry hearings ""going on behind closed doors over which Congressman Schiff is presiding—they are consistent with the rules"" of the U.S. House of Representatives.",true
Brett McGurk,"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region.""",true
Pete Buttigieg,"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",true
Joe Manchin,"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",true
Glenn Grothman,"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it.""",true
David McKinley,"""About 95 percent of America’s production of ethylene is produced on the Gulf Coast in Texas and Louisiana.""",true
Josh Hawley,"""Meth production in MO has cratered over last decade. MO Hwy Patrol reported 1,326 meth lab seizures in 2006, only 50 in 2018.""",true
Donald Trump,"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",true
Donald Trump,"Says in the 2016 presidential election, ""I won that one by 42 points -- 42 points -- West Virginia.""",true
Gwen Moore,"""More than half of death row prisoners are people of color.""",true
Roy Blunt,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",true
Josh Kaul,"Says people convicted of felonies or under restraining orders ""can buy a firearm without going through a background check.""",true
Sheldon Whitehouse,"""One unnamed donor gave $17 million to the Leo-affiliated Judicial Crisis Network to block the nomination of Judge Merrick Garland and to support Gorsuch; then a donor — perhaps the same one — gave another $17 million to prop up Kavanaugh.""",true
Arlen Parsa,"Thirty-four of the 47 men depicted in the famous ""Declaration of Independence"" painting were slaveholders.",true
Beto O'Rourke,"""There are 390 million guns out on the streets of a country of 329 million people.""",true
Samuel Sinyangwe,"""America has more governors who’ve worn blackface than black governors.""",true
Whoopi Goldberg,"""The last time people (created a Hollywood blacklist), people ended up killing themselves … They were accused, and they lost their right to work.""",true
Dave Aronberg,"Florida’s red flag gun law has been used ""about five times a day.""",true
Elizabeth Warren,"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",true
Michael Bloomberg,"""If you go back, you can see Wayne LaPierre, who runs the NRA, testifying in front of Congress in favor of background checks 15 or 20 years ago.""",true
Tammy Baldwin,"""More Americans are uninsured today than when (President Donald) Trump took office.""",true
Beto O'Rourke,"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city.",true
Bobby Scott,"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""",true
Steve McCraw,"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",true
Facebook posts,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",true
Bloggers,"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",true
Donald Trump,"""Food Stamp participation hits 10 year low.""",true
Cory Booker,"""In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.""",true
Bernie Sanders,"""The wealthiest three families now own more wealth than the bottom half of the country.""",true
Ta-Nehisi Coates,"""The typical black family in this country has one-tenth the wealth of the typical white family.""",true
Scott Walker,"""Wisconsin is a Top 10 state for health care coverage.""",true
Beto O'Rourke,"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",true
Mark Pocan,"""The United States is the ONLY industrialized country without universal healthcare.""",true
Ron Johnson,"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",true
Ray Cross,"""Most research shows that (UW salaries) are a little behind, and (in) some areas we're behind more than others.""",true
Seth Moulton,"""The VA negotiates prescription drug prices. Medicare doesn't do that.""",true
Tulsi Gabbard,"Says immigrant military service members applying for U.S. citizenship ""are getting rejected at higher numbers than those who are not veterans.""",true
Chris Taylor,"""We saw the prison population expand and vacancy rates for correctional officers go from 2.9% to 15.2%"" over the last eight years.",true
John Hickenlooper,"""We beat the NRA with tough, tough gun laws"" in Colorado.",true
Justin Amash,"""In fact, ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars.""",true
Kirsten Gillibrand,"""I actually in 2005 ran on Medicare for all.""",true
Amy Klobuchar,"""We’ve had a 30% increase in suicides in this country in just 15 years.""",true
Tracy McCreery,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",true
Brandon Creighton,"""Texas actually leads in the number of (Confederate) monuments removed.""",true
Patricia Pike,"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them",true
Joe Biden,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",true
Ron Johnson,"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",true
Bernie Sanders,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",true
Donald Trump,"""The unemployment rate for Wisconsin workers has reached historic lows. It’s never been this low before, ever, ever, ever.""",true
Elizabeth Warren,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",true
Letitia James,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",true
