,Statement Author,Statement,Rating,cleaned,statement_length,word_count,sentence_count,unique_words,lexical_richness,punctuation_count,noun_%,pronoun_%,verb_%,adj_%,determiner_%,foreign_%,cleaned_tokenized
29,Gary Black,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",true,raphael warnock ran campaign ad featuring beagle dog,103,52,1,16,90.71999999999997,3,0.36,0.08,0.16,0.0,0.08,0.0,"['raphael', 'warnock', 'ran', 'campaign', 'ad', 'featuring', 'beagle', 'dog']"
30,Kelda Helen Roys,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",true,u senate rule democrat need majority codify roe v wade,95,54,2,17,17.0,10,0.3181818181818182,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,"['u', 'senate', 'rule', 'democrat', 'need', 'majority', 'codify', 'roe', 'v', 'wade']"
31,Eric Toney,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",true,state crime lab attorney general josh kaul testing significantly le item former ag brad schimel still taking longer test many category key item comparison schimel including dna,223,176,1,33,95.83,4,0.3902439024390244,0.0,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.0,"['state', 'crime', 'lab', 'attorney', 'general', 'josh', 'kaul', 'testing', 'significantly', 'le', 'item', 'former', 'ag', 'brad', 'schimel', 'still', 'taking', 'longer', 'test', 'many', 'category', 'key', 'item', 'comparison', 'schimel', 'including', 'dna']"
32,Andrea Stewart-Cousins,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",true,new york state senate voted legalize abortion republican senator voted favor,111,76,1,16,45.359999999999985,2,0.3181818181818182,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,"['new', 'york', 'state', 'senate', 'voted', 'legalize', 'abortion', 'republican', 'senator', 'voted', 'favor']"
33,Lee Zeldin,“New York leads the U.S. in population loss.”,true,new york lead u population loss,45,31,1,8,10.0,3,0.5454545454545454,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,"['new', 'york', 'lead', 'u', 'population', 'loss']"
34,Keith Pekau,We’ve reduced crime to its lowest level in 27 years.,true,reduced crime lowest level year,52,31,1,10,9.0,1,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,"['reduced', 'crime', 'lowest', 'level', 'year']"
35,Kathy Hochul,"Since taking office, Hochul has passed more than 400 new bills",true,since taking office hochul passed new bill,62,42,1,11,10.0,1,0.25,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,"['since', 'taking', 'office', 'hochul', 'passed', 'new', 'bill']"
36,Melissa Agard,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",true,cannabis reform supported majority resident state including majority republican,114,79,1,11,20.340000000000003,4,0.3181818181818182,0.045454545454545456,0.09090909090909091,0.0,0.13636363636363635,0.0,"['cannabis', 'reform', 'supported', 'majority', 'resident', 'state', 'including', 'majority', 'republican']"
37,Jennifer Konfrst,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,true,k student would benefit iowa school voucher bill,71,48,1,12,11.0,3,0.5,0.0,0.0625,0.0625,0.0,0.0,"['k', 'student', 'would', 'benefit', 'iowa', 'school', 'voucher', 'bill']"
38,Tim Kaine,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,true,virginia woman paid cent every dollar paid virginia men,73,55,1,11,47.320000000000036,1,0.5,0.0,0.1875,0.0,0.0625,0.0,"['virginia', 'woman', 'paid', 'cent', 'every', 'dollar', 'paid', 'virginia', 'men']"
39,Nikki Fried,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",true,florida th nation come medicaid funding people disability,97,57,1,16,16.0,4,0.3333333333333333,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,"['florida', 'th', 'nation', 'come', 'medicaid', 'funding', 'people', 'disability']"
40,Kathy Hochul,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,true,among large state fully vaccinated teenager large state fully vaccinated five year old,160,86,4,11,27.0,7,0.14285714285714285,0.05714285714285714,0.17142857142857143,0.11428571428571428,0.11428571428571428,0.0,"['among', 'large', 'state', 'fully', 'vaccinated', 'teenager', 'large', 'state', 'fully', 'vaccinated', 'five', 'year', 'old']"
41,Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",true,u made stride reducing carbon emission part world,94,49,1,17,80.91999999999999,3,0.3,0.0,0.15,0.05,0.1,0.0,"['u', 'made', 'stride', 'reducing', 'carbon', 'emission', 'part', 'world']"
42,Robert Ortt,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",true,ongoing pandemic state park attendance highest ever,88,51,1,13,71.68,2,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.0,"['ongoing', 'pandemic', 'state', 'park', 'attendance', 'highest', 'ever']"
43,Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",true,journalist killed mexico country world,89,38,1,13,21.000000000000007,4,0.2,0.0,0.1,0.05,0.1,0.0,"['journalist', 'killed', 'mexico', 'country', 'world']"
44,John Cornyn,"""100,000 Americans died of an overdose in a single year.""",true,american died overdose single year,57,34,1,10,9.0,4,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,"['american', 'died', 'overdose', 'single', 'year']"
45,Jennifer McClellan,“More than half of Virginia’s school buildings are older than 50 years.”,true,half virginia school building older year,72,40,1,10,40.319999999999986,1,0.4117647058823529,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,"['half', 'virginia', 'school', 'building', 'older', 'year']"
46,Tony Evers,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,true,say issued pardon wisconsin governor contemporary history,86,57,1,13,14.0,1,0.3125,0.0625,0.125,0.0625,0.0625,0.0,"['say', 'issued', 'pardon', 'wisconsin', 'governor', 'contemporary', 'history']"
47,Brian Tyler Cohen,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",true,iowa republican introduced bill would put government installed camera every single classroom livestream school activity parent spy teacher child,188,144,1,25,204.11999999999972,4,0.3333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.0,"['iowa', 'republican', 'introduced', 'bill', 'would', 'put', 'government', 'installed', 'camera', 'every', 'single', 'classroom', 'livestream', 'school', 'activity', 'parent', 'spy', 'teacher', 'child']"
48,Joni Ernst,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",true,iowa since put number voting law place last several year voter id one actually seen voter participation increase even election year,202,131,1,27,63.88666666666667,5,0.3488372093023256,0.046511627906976744,0.11627906976744186,0.06976744186046512,0.09302325581395349,0.0,"['iowa', 'since', 'put', 'number', 'voting', 'law', 'place', 'last', 'several', 'year', 'voter', 'id', 'one', 'actually', 'seen', 'voter', 'participation', 'increase', 'even', 'election', 'year']"
49,Roger Williams,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",true,number covid death recorded far surpassed total,89,47,1,16,54.88000000000004,4,0.21052631578947367,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,"['number', 'covid', 'death', 'recorded', 'far', 'surpassed', 'total']"
50,Jen Psaki,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",true,time likely go hospital vaccinated time likely die,107,50,1,12,22.400000000000002,2,0.14814814814814814,0.07407407407407407,0.25925925925925924,0.07407407407407407,0.037037037037037035,0.0,"['time', 'likely', 'go', 'hospital', 'vaccinated', 'time', 'likely', 'die']"
51,Iowa Senate Democrats,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",true,gov kim reynolds touting million iowa broadband failed mention actually federal fund approved rep cindy axne signed law president joe biden,184,139,2,28,252.00000000000009,6,0.40540540540540543,0.0,0.16216216216216217,0.02702702702702703,0.02702702702702703,0.0,"['gov', 'kim', 'reynolds', 'touting', 'million', 'iowa', 'broadband', 'failed', 'mention', 'actually', 'federal', 'fund', 'approved', 'rep', 'cindy', 'axne', 'signed', 'law', 'president', 'joe', 'biden']"
52,NYS Department of Corrections and Community Supervision,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",true,new york leading nation lowest imprisonment rate large state,85,60,1,13,63.00000000000002,1,0.35294117647058826,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,"['new', 'york', 'leading', 'nation', 'lowest', 'imprisonment', 'rate', 'large', 'state']"
53,Cindy Axne,"“Iowa ranks 45th in the U.S. for internet connectivity.""",true,iowa rank th u internet connectivity,56,36,1,9,10.0,4,0.3333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,"['iowa', 'rank', 'th', 'u', 'internet', 'connectivity']"
54,David Gura,“FUN FACT: West Virginia is home to zero billionaires.”,true,fun fact west virginia home zero billionaire,55,44,1,9,10.0,2,0.46153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,"['fun', 'fact', 'west', 'virginia', 'home', 'zero', 'billionaire']"
55,Kelda Helen Roys,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,true,say gubernatorial candidate rebecca kleefisch worked scott walker sign five abortion restriction law took away service threatened doctor prison time providing safe legal abortion,221,178,1,28,152.46000000000015,1,0.42857142857142855,0.0,0.14285714285714285,0.08571428571428572,0.0,0.0,"['say', 'gubernatorial', 'candidate', 'rebecca', 'kleefisch', 'worked', 'scott', 'walker', 'sign', 'five', 'abortion', 'restriction', 'law', 'took', 'away', 'service', 'threatened', 'doctor', 'prison', 'time', 'providing', 'safe', 'legal', 'abortion']"
56,Randy Feenstra,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",true,biden administration published study concluding new car road still require liquid fuel,126,86,1,20,101.07999999999991,5,0.2222222222222222,0.0,0.1111111111111111,0.07407407407407407,0.1111111111111111,0.0,"['biden', 'administration', 'published', 'study', 'concluding', 'new', 'car', 'road', 'still', 'require', 'liquid', 'fuel']"
57,Facebook posts,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",true,southwest airline announce longer terminate employee mandate,87,60,1,12,12.0,3,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,"['southwest', 'airline', 'announce', 'longer', 'terminate', 'employee', 'mandate']"
58,Mark Pocan,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",true,annual pentagon budget hovers billion annually twice much debated build back better act cost billion annually currently proposed,178,128,1,24,68.03999999999998,4,0.23529411764705882,0.0,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.0,"['annual', 'pentagon', 'budget', 'hovers', 'billion', 'annually', 'twice', 'much', 'debated', 'build', 'back', 'better', 'act', 'cost', 'billion', 'annually', 'currently', 'proposed']"
59,Kathryn Moffett Bradford,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",true,look hospitalization ruby memorial west virginia around country hospitalized unvaccinated,147,89,1,20,74.05999999999996,5,0.3225806451612903,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.0967741935483871,0.0,"['look', 'hospitalization', 'ruby', 'memorial', 'west', 'virginia', 'around', 'country', 'hospitalized', 'unvaccinated']"
60,David McKinley,“Overdose deaths in WV are up 45% from the prior year.”,true,overdose death wv prior year,55,28,1,11,11.0,2,0.4666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,"['overdose', 'death', 'wv', 'prior', 'year']"
61,Chris Larson,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",true,gop controlled legislature refused act least appointee gov tony evers,98,69,2,16,15.0,5,0.25,0.0,0.1,0.05,0.05,0.0,"['gop', 'controlled', 'legislature', 'refused', 'act', 'least', 'appointee', 'gov', 'tony', 'evers']"
62,Mark Pocan,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,true,end eviction moratorium mean million american could lose housing middle pandemic,110,80,1,15,45.359999999999985,1,0.42857142857142855,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,"['end', 'eviction', 'moratorium', 'mean', 'million', 'american', 'could', 'lose', 'housing', 'middle', 'pandemic']"
63,Mitt Romney,"The Trump administration worked to free 5,000 Taliban prisoners.",true,trump administration worked free taliban prisoner,64,49,1,9,8.0,2,0.4,0.0,0.2,0.0,0.1,0.0,"['trump', 'administration', 'worked', 'free', 'taliban', 'prisoner']"
64,Mandela Barnes,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",true,afghanistan billion dollar spent military contract,71,50,1,10,10.0,2,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,"['afghanistan', 'billion', 'dollar', 'spent', 'military', 'contract']"
65,Viral image,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,true,photo show two covid patient lying floor awaiting treatment florida,85,67,1,14,14.0,2,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,"['photo', 'show', 'two', 'covid', 'patient', 'lying', 'floor', 'awaiting', 'treatment', 'florida']"
66,Craig Thompson,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",true,got mile road state owned local,80,31,1,16,15.0,4,0.2727272727272727,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.0,"['got', 'mile', 'road', 'state', 'owned', 'local']"
67,Gwen Moore,"“324,000 pregnant people experience domestic violence during their pregnancy.”",true,pregnant people experience domestic violence pregnancy,78,54,1,9,10.0,2,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,"['pregnant', 'people', 'experience', 'domestic', 'violence', 'pregnancy']"
68,Chip Roy,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,true,quorum breaking texas democrat said mail ballot fraud greatest source voter fraud state,126,87,1,17,61.74000000000001,3,0.4166666666666667,0.0,0.041666666666666664,0.08333333333333333,0.125,0.0,"['quorum', 'breaking', 'texas', 'democrat', 'said', 'mail', 'ballot', 'fraud', 'greatest', 'source', 'voter', 'fraud', 'state']"
69,Mandela Barnes,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",true,year since minimum wage inflation parted way decade since federal minimum went,134,78,1,18,53.760000000000005,4,0.25,0.03125,0.1875,0.03125,0.09375,0.0,"['year', 'since', 'minimum', 'wage', 'inflation', 'parted', 'way', 'decade', 'since', 'federal', 'minimum', 'went']"
70,Glenn Grothman,“We have a record 9.3 million job openings in the U.S.”,true,record million job opening u,55,28,1,11,12.0,3,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,"['record', 'million', 'job', 'opening', 'u']"
71,Mark Born,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",true,pandemic continuing ui claim well state federal ui benefit,135,58,2,17,45.17333333333334,6,0.2413793103448276,0.0,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0,"['pandemic', 'continuing', 'ui', 'claim', 'well', 'state', 'federal', 'ui', 'benefit']"
72,Lorraine Lewandrowski,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,true,currently legal new york state student glass fresh whole milk,92,61,1,16,101.07999999999991,1,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.0,"['currently', 'legal', 'new', 'york', 'state', 'student', 'glass', 'fresh', 'whole', 'milk']"
73,Mandela Barnes,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",true,since ceo compensation rose average worker,83,42,1,13,11.0,6,0.3157894736842105,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,"['since', 'ceo', 'compensation', 'rose', 'average', 'worker']"
74,Tim Kaine,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",true,new conn issue bond bridge using fund bridge pay police misconduct settlement,128,77,1,14,29.624000000000006,5,0.35714285714285715,0.0,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.0,"['new', 'conn', 'issue', 'bond', 'bridge', 'using', 'fund', 'bridge', 'pay', 'police', 'misconduct', 'settlement']"
75,Wisconsin Republican Legislative leaders,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",true,wisconsin budget produced first positive general fund balance since governor proposed budget would return deficit,160,113,1,20,61.74000000000001,4,0.3333333333333333,0.03333333333333333,0.13333333333333333,0.16666666666666666,0.1,0.0,"['wisconsin', 'budget', 'produced', 'first', 'positive', 'general', 'fund', 'balance', 'since', 'governor', 'proposed', 'budget', 'would', 'return', 'deficit']"
